Question;Réponse
"C&rsquo;est quoi exactement un volcan ?";Un volcan c’est un trou dans la Terre
Qui devenait pirate ?;C’étaient souvent d’anciens corsaires au service du roi qui décidaient d’attaquer des navires pour leur propre compte
"Comment dorment les astronautes, dans l&rsquo;espace ?";Dans l’espace, il n’y a pas de gravité terrestre, c’est-à-dire que rien n’est retenu au sol
De quoi sont constituées les étoiles ?;Les étoiles sont composées de gaz, comme l’air qui nous entoure
A-t-on déjà vu des extraterrestres ?;On n’a encore jamais vraiment eu la preuve infaillible que les extraterrestres existent
"C&rsquo;est quoi une comète ?";Une comète est une boule de glace et de poussières qui tourne autour du Soleil
"C&rsquo;est quoi une météorite ?";Une météorite est un énorme caillou qui traverse l’espace et tombe sur la Terre
"Qui dirigeait les cérémonies sacrées, chez les Indiens d&rsquo;Amérique ?";Celui qui dirigeait les cérémonies sacrées chez les Indiens d’Amérique était le chef de la tribu
Comment font les étoiles de mers pour manger ?;Les étoiles de mer raffolent des coquillages
De quoi sont constituées les étoiles ?;Les étoiles sont composées de gaz, comme l’air qui nous entoure
Quelle est la différence entre une étoile et une planète ?;La différence entre une étoile et une planète se trouve dans sa taille
"C&rsquo;est quoi l&rsquo;Univers ?";L’Univers, c’est tout ce qui nous entoure : les étoiles, les planètes, l’espace… Il est infiniment grand 
Le Soleil est-il une étoile ?;Eh oui 
Les étoiles filantes sont-elles des étoiles ?;Eh bien non 
Comment font les étoiles de mers pour manger ?;Les étoiles de mer raffolent des coquillages
"C&rsquo;est quoi une comète ?";Une comète est une boule de glace et de poussières qui tourne autour du Soleil
"Comment s&rsquo;appelle la monnaie que l&rsquo;on utilise en Europe ?";La monnaie utilisée en Europe s’appelle l’euro
"Comment s&rsquo;appelle la monnaie que l&rsquo;on utilise en Europe ?";La monnaie utilisée en Europe s’appelle l’euro
Pourquoi appelait-on les soldats de la Première Guerre mondiale des poilus ?;Deux raisons : la première est que, dans les tranchées, il n’y avait aucun répit pour se laver ou se raser
Pourquoi les mammouths ont-ils disparu ?;Les mammouths se sont éteints car leur fourrure n’était plus adaptée au climat
Comment les dinosaures se sont-ils éteints ?;Les dinosaures se seraient éteints après la chute d’une énorme météorite sur la Terre
Combien de temps les dinosaures ont vécu sur Terre ?;Les premiers dinosaures sont apparus il y a à peu près 230 millions d’années et les derniers se sont éteints il y a environ 65 millions d’années
A-t-on déjà vu des extraterrestres ?;On n’a encore jamais vraiment eu la preuve infaillible que les extraterrestres existent
Comment fabrique-t-on du verre ?;Pour fabriquer du verre, il faut mélanger du sable avec deux produits chimiques : de la soude et de la chaux que l’on chauffe à 1 600 °C, ce qui est très chaud 
"D&rsquo;où viennent les céréales ?";Les céréales que l’on mange le matin avec du lait viennent des graines des plantes, comme le blé, le riz, le maïs
Qui pique chez les moustiques, le mâle ou la femelle ?;Les moustiques qui piquent sont les femelles 
Que faisaient les femmes à la préhistoire ?;Pendant la préhistoire, la principale tâche des femmes était de surveiller le feu, de façon à ce qu’il ne s’éteigne pas
Pourquoi au Moyen Âge, les femmes sortaient-elles avec des chaussures aux épaisses semelles ?;Au Moyen Âge, les rues des villes étaient extrêmement sales
Y a-t-il eut des femmes pirates ?;Oui, il y en eut quelques-unes
Les femmes préhistoriques portaient-elles des bijoux ?;Eh oui, les hommes préhistoriques étaient de galants hommes 
À quoi servent les très grandes oreilles du fennec, petit renard du désert ?;Les oreilles du fennec lui servent à laisser partir la chaleur de son corps 
"C&rsquo;est quoi exactement un cow-boy ?";« Cow » veut dire « vache » en anglais et « boy » veut dire « garçon »
"Qu&rsquo;est-ce que c&rsquo;est que la basse-cour, dans la ferme ?";C’est là que vivent les animaux tels que les poules, les oies, les canards, les pintades, les dindons… tous les animaux à plumes 
"Pourquoi les vaches ont-elles toujours l&rsquo;air de mâcher ?";La vache passe presque toute la journée à brouter
Le cochon est-il sale ?;Bien au contraire 
Y a-t-il un poussin dans tous les œufs de poule ?;La poule pond presque tous les jours
Pourquoi met-on des fers sur les sabots des poneys et des chevaux ?;Les fers sont faits pour protéger les sabots des chevaux et des poneys
"D&rsquo;où provient l&rsquo;eau que les pompiers utilisent pour éteindre les feux ?";Avec leur camion rouge équipé d’un long tuyau que l’on appelle lance à incendie, les pompiers déverse de l’eau sur les feux
Que faisaient les femmes à la préhistoire ?;Pendant la préhistoire, la principale tâche des femmes était de surveiller le feu, de façon à ce qu’il ne s’éteigne pas
Pourquoi les pompiers ont-ils une grande échelle ?;L’échelle des pompiers mesure près de 30 mètres de haut, la taille d’un immeuble de 7 étages 
Pourquoi les vêtements des pompiers ne brûlent-ils pas ?;Les vêtements des pompiers ne brûlent pas dans le feu parce qu’ils sont fabriqués dans un tissu spécialement conçu pour résister à la chaleur des flammes
Comment les hommes préhistoriques allumaient-ils les feux ?;Ils frottaient des pierres les unes avec les autres
Que mangeaient les dinosaures herbivores ?;Ils mangeaient des feuilles d’arbre
Est-ce que les acrobates de cirque tombent souvent ?;Non, les acrobates de cirque ne tombent pas souvent
Pourquoi les filles se maquillent-elles ?;Déjà, toutes les filles ne se maquillent pas
Y a-t-il des chiens pompiers ?;Oui, il existe des chiens spécialement entraînés pour aider les pompiers à retrouver des gens sous des bâtiments écroulés, par exemple
Pourquoi le flamant est-il rose ?;C’est à cause de son alimentation 
Pourquoi les fleurs sentent-elles si bon ?;Les fleurs sentent bon pour attirer les insectes et notamment les abeilles
La Seine est-elle le plus long fleuve de France ?;Eh non 
"La plupart des fleuves d&rsquo;Europe sont-ils pollués ?";Malheureusement oui
"Comment s&rsquo;appelle le fleuve qui traverse l&rsquo;Égypte ?";Ce fleuve s’appelle le Nil
Quel animal était sacré pour les Égyptiens ?;Il s’agit du crocodile
Pourquoi les poissons ne coulent-ils pas ?;Les poissons ne coulent pas grâce à une petite poche de gaz, à l’intérieur de leur corps qui leur permet de flotter
"Comment devient-on footballeur professionnel&nbsp;?";Devenir footballeur professionnel est un rêve pour beaucoup, mais attention : c’est un peu le parcours du combattant 
Qui était Pelé ?;Pelé est un footballeur brésilien, considéré comme le plus grand joueur de football de tous les temps
Qui a inventé le football ?;En réalité, le football serait inspiré d’un sport pratiqué en France il y a très longtemps
Comment les joueurs de foot se protègent-ils ?;Les joueurs de foot se protègent des éventuels coups des autres joueurs avec des protège-tibias sur le devant des jambes
Combien de temps dure un match de foot ?;Un match est composé de deux périodes de 45 minutes que l’on appelle des mi-temps
Les tremblements de terre ont-ils tous la même force ?;Eh non, bien sûr 
Pourquoi les pompiers font-ils beaucoup de sport ?;Les pompiers font beaucoup de sport pour être en forme
Pourquoi la forêt amazonienne est-elle en danger ?;La forêt amazonienne est en danger car elle subit une déforestation massive, c’est-à-dire que l’on coupe beaucoup d’arbres pour laisser de la place aux cultures
Que doit-on faire pour respecter les arbres ?;Les arbres sont vivants et sont les poumons de la planète 
Comment le boa tue-t-il les animaux dont il veut se nourrir ?;Dans les forêts amazonniennes d’Amérique, cet énorme serpent qu’est le boa s’enroule autour de l’animal et serre doucement ses anneaux jusqu’à l’étouffer !..
Y a-t-il un chef dans les groupes de gorilles ?;Dans les forêts tropicales d’Afrique, les gorilles vivent en groupe
Y a-t-il un chef dans les groupes de gorilles ?;Dans les forêts tropicales d’Afrique, les gorilles vivent en groupe
Comment le boa tue-t-il les animaux dont il veut se nourrir ?;Dans les forêts amazonniennes d’Amérique, cet énorme serpent qu’est le boa s’enroule autour de l’animal et serre doucement ses anneaux jusqu’à l’étouffer !..
"Qui fabriquait l&rsquo;armure des chevaliers ?";L’homme qui fabriquait l’armure des chevaliers était le forgeron
La Terre a-t-elle toujours existé ?;Eh non 
"D&rsquo;où viennent les éclairs ?";Les éclairs dans le ciel viennent de la foudre, une étincelle géante qui se forme à l’intérieur d’un nuage d’orage, chargé d’électricité
"Qu&rsquo;est-ce qu&rsquo;un insecte ?";Un insecte se caractérise par ses 3 paires de pattes, soit 6 en tout
La Seine est-elle le plus long fleuve de France ?;Eh non 
"Quel est le nom de la chaîne de montagnes qui sépare la France de l&rsquo;Italie ?";La chaîne des Alpes est une frontière naturelle entre la France, l’Italie et la Suisse
Y a-t-il du pétrole en France ?;Eh bien oui 
"Quel était l&rsquo;ancien nom de Paris ?";Avant de s’appeler Paris, la capitale se nommait Lutèce
Sur quel continent se trouve la France ?;Le continent où se trouve la France s’appelle l’Europe
"D&rsquo;où viennent les glaçons ?";Eh oui 
"C&rsquo;est quoi une galaxie ?";Des morceaux de l’Univers se sont réunis et ont formé des galaxies
Pourquoi les filles se maquillent-elles ?;Déjà, toutes les filles ne se maquillent pas
La Seine est-elle le plus long fleuve de France ?;Eh non 
"Quel est le nom de la chaîne de montagnes qui sépare la France de l&rsquo;Italie ?";La chaîne des Alpes est une frontière naturelle entre la France, l’Italie et la Suisse
Y a-t-il du pétrole en France ?;Eh bien oui 
"Quel était l&rsquo;ancien nom de Paris ?";Avant de s’appeler Paris, la capitale se nommait Lutèce
"Est-ce que les mers et les océans, c&rsquo;est la même chose ?";Eh bien non
Pourquoi la girafe a un si long cou ?;La girafe a un très long cou pour pouvoir manger les petites feuilles tendres, tout en haut des acacias, ces très grands arbres que l’on trouve dans la savane africaine
Quel est le plus grand bébé du monde ?;Il s’agit du girafeau, le bébé de la girafe
"D&rsquo;où viennent les glaçons ?";Eh oui 
Que sont les icebergs ?;Les icebergs sont des énormes blocs de glace qui se sont détachés de la banquise
"Où se déroulaient les spectacles de gladiateurs&nbsp;?";Les spectacles de gladiateurs se déroulaient dans des amphithéâtres, immenses théâtres ronds, où les bancs sont placés tout autour, en escalier
"Pourquoi les empereurs romains levaient-ils le pouce lors d&rsquo;un combat de gladiateurs ?";Les empereurs romains levaient ou baissaient le pouce lors des jeux, à la fin d’un combat de gladiateurs
Qui étaient les gladiateurs ?;Les gladiateurs étaient soit des hommes qui se battaient pour de l’argent, soit des esclaves qui essayaient de gagner leur liberté ou encore des bandits qui, à la place d’être en prison, risquaient leur..
Où vivent les gorilles ?;Les gorilles vivent dans les forêts humides d’Afrique
Quelle est la meilleure mère du règne animal ?;La maman gorille est l’une des mères les plus douces avec son petit
Y a-t-il un chef dans les groupes de gorilles ?;Dans les forêts tropicales d’Afrique, les gorilles vivent en groupe
Pourquoi les pompiers ont-ils une grande échelle ?;L’échelle des pompiers mesure près de 30 mètres de haut, la taille d’un immeuble de 7 étages 
À quoi servaient les temples grecs ?;Les Grecs construisirent des temples pour vénérer leurs dieux
Où avaient lieu les jeux olympiques ?;Ils se déroulaient à Olympie, en l’honneur de Zeus, le roi des dieux : le lieu où vivaient les dieux était le mont Olympe, à Olympie
Que perdent le bébé crapaud et le bébé grenouille en grandissant ?;Ils perdent leur queue 
Peut-on manger des insectes ?;Oui, dans certaines régions du monde, comme l’Asie ou l’Afrique, on mange beaucoup d’insectes grillés, comme les grillons
Pourquoi le chat fait-il le gros dos ?;On sait qu’un chat n’est pas content lorsqu’il montre les dents, remue la queue, baisse les oreilles et surtout quand il fait le gros dos et qu’il hérisse ses poils 
Où vivaient les hommes préhistoriques ?;Les hommes préhistoriques vivaient dans des grottes, où ils se protégeaient du froid, de la pluie, et surtout dans lesquelles ils préservaient leur feu, garantie de leur survie
Où vivaient les hommes préhistoriques ?;Ils vivaient dans des grottes, pour se protéger du froid et de la pluie
"Qu&rsquo;est-ce que le travail sur un chantier ?";  Le travail sur un chantier est assez difficile et dangereux
Pourquoi y a-t-il des grues sur les chantiers ?;Les grues servent à soulever de lourdes charges, comme les poutres metalliques ou les blocs de beton
Pourquoi les guêpes piquent ?;Les guêpes piquent lorsqu’elles se sentent menacées
Pourquoi appelait-on les soldats de la Première Guerre mondiale des poilus ?;Deux raisons : la première est que, dans les tranchées, il n’y avait aucun répit pour se laver ou se raser
"Comment s&rsquo;appelait la technique qui consistait à encercler un château fort ennemi ?";Cette technique de guerre s’appelle le siège
"Comment s&rsquo;appelaient les soldats romains ?";Les soldats romains s’appelaient les légionnaires
"En cas d&rsquo;attaque, comment s&rsquo;appelait la technique de défense des légionnaires romains ?";Cette technique s’appellait la tortue
Pourquoi les pirates avaient-ils souvent une jambe de bois, un œil ou un bras en moins ?;Lors des combats, les attaques étaient violentes et les blessures nombreuses 
Quel a été le premier livre publié au monde ?;Il s’agit de la Bible, imprimée et publiée en 1455 par Gutenberg
Existe-t-il des maisons en paille et en bois ?;Oui 
Les ponts de Paris ont-ils été habités ?;Oui 
Pourquoi les Indiens habitaient-ils dans des tipis ?;Les Indiens étaient un peuple de nomades, c’est-à-dire qu’ils se déplaçaient au rythme des saisons, pour suivre les troupeaux de bisons dont ils se nourrissaient
"Sur un chantier, à quoi sert l&rsquo;architecte ?";D’abord, l’architecte dessine les plans de la maison ou de l’immeuble
Les dinosaures pouvaient-ils changer de couleur ?;Oui 
Le diplodocus était-il herbivore ou carnivore ?;Le diplodocus était un dinosaure herbivore
Certains dinosaures herbivores avalaient-ils des pierres ?;Eh oui 
Que mangeaient les dinosaures herbivores ?;Ils mangeaient des feuilles d’arbre
Les dinosaures mangeaient-ils tous de la viande ?;Au contraire 
"Quel est l&rsquo;homme qui a déchiffré les hiéroglyphes ?";L’homme qui a su déchiffrer les hiéroglyphes est Jean-François Champollion
"Comment s&rsquo;appelait l&rsquo;écriture chez les Égyptiens ?";L’écriture chez les Égyptiens s’appelle les hieroglyphes
"L&rsquo;hippocampe est-il un poisson ?";Eh oui 
Quel père met au monde ses petits ?;Il s’agit de l’hippocampe
Pourquoi dit-on que le vendredi 13 porte malheur ?;Certains pensent que cette superstition vient du christianisme
Pourquoi appelait-on les soldats de la Première Guerre mondiale des poilus ?;Deux raisons : la première est que, dans les tranchées, il n’y avait aucun répit pour se laver ou se raser
Pourquoi Louis XIV était-il surnommé le Roi-Soleil ?;Louis XIV, qui régna de 1643 à 1715, s’est choisi lui-même le Soleil comme symbole
"Comment appelle-t-on la plus haute tour d&rsquo;un château fort ?";La plus haute tour d’un château fort s’appelle le donjon
Combien de temps fallait-il pour construire un château fort ?;Il fallait parfois plus de 20 ans pour construire un château fort 
"L&rsquo;homme descend-il du singe ?";Eh bien non 
Sur Terre, les hommes vivent-ils plus dans les villes ou les villages ?;Les hommes vivent plus dans les villes
"Y a-t-il plus de poissons que d&rsquo;hommes sur la Terre ?";La Terre est recouverte en plus grande quantité de mers et d’océans
Où vivaient les hommes préhistoriques ?;Ils vivaient dans des grottes, pour se protéger du froid et de la pluie
Sur quel continent sont apparus les premiers hommes ?;C’est en Afrique que l’on a retrouvé les ossements humains les plus anciens
Comment les hommes préhistoriques allumaient-ils les feux ?;Ils frottaient des pierres les unes avec les autres
Qui étaient les hommes de Cro-Magnon ?;Ces hommes sont nos ancêtres 
Les mammouths ont-ils vécu à la même période que les dinosaures ?;Non, les mammouths n’ont pas vécu à la même période que les dinosaures
Que mangeaient les hommes préhistoriques ?;Les hommes préhistoriques n’ont pas commencé à se nourrir de la pêche ou de la cueillette de plantes
Quelle était la pierre que taillaient les hommes préhistoriques ?;La pierre que taillaient les hommes préhistoriques pour en faire des armes et des outils est le silex
Que faisaient les femmes à la préhistoire ?;Pendant la préhistoire, la principale tâche des femmes était de surveiller le feu, de façon à ce qu’il ne s’éteigne pas
Où vivaient les hommes préhistoriques ?;Les hommes préhistoriques vivaient dans des grottes, où ils se protégeaient du froid, de la pluie, et surtout dans lesquelles ils préservaient leur feu, garantie de leur survie
Qui étaient les hommes de Cro-Magnon ?;Ces hommes sont nos ancêtres 
Qui étaient les Homo sapiens ?;Homo sapiens veut dire : « homme sage »
Que sont les icebergs ?;Les icebergs sont des énormes blocs de glace qui se sont détachés de la banquise
Y a-t-il des volcans sous la mer ?;Oui 
"Sur un chantier, à quoi sert l&rsquo;architecte ?";D’abord, l’architecte dessine les plans de la maison ou de l’immeuble
Pourquoi y a-t-il de grands immeubles à Paris ?;Il y a de grands immeubles à Paris car de plus en plus de monde habite les grandes villes comme Paris
Quel a été le premier livre publié au monde ?;Il s’agit de la Bible, imprimée et publiée en 1455 par Gutenberg
"Pourquoi les Indiens d&rsquo;Amérique s&rsquo;appellent-ils comme cela ?";Les Indiens d’Amérique sont en fait les premiers habitants du continent américain
Qui étaient les Sioux ?;Les Sioux étaient l’une des tribus indiennes qui habitaient le continent américain
À quel âge un jeune Indien pouvait partir chasser avec les hommes de sa tribu ?;À partir de 12 ans, un jeune Indien pouvait partir chasser le bison avec les hommes de sa tribu
Les indiens existent-ils encore ?;Oui, il existe encore des indiens, mais ils vivent dans de grandes réserves souvent éloignées de leurs terres d’origine
"Qu&rsquo;est-ce qu&rsquo;un « tomahawk » chez les Indiens d&rsquo;Amérique ?";Le « tomahawk », chez les Indiens d’Amérique est une sorte de massue, comme un marteau, à laquelle était attachée une grosse pierre...
Pourquoi le cheval remue-t-il la queue ?;Dans les champs, l’été, les insectes sont très nombreux… Le cheval remue la queue pour chasser les mouches ou les taons, sortes de grosses mouches, qui essaient de le piquer
"D&rsquo;où vient le miel ?";Ce sont les abeilles qui fabriquent le miel
"D&rsquo;où viennent les poux ?";Les poux sont de touts petits insectes munis de pattes se terminant par des griffes qui s’accrochent à… nos cheveux 
Comment naît le papillon ?;Au tout début, c’est une petite chenille qui sort de son œuf
Pourquoi les guêpes piquent ?;Les guêpes piquent lorsqu’elles se sentent menacées
"Est-ce qu&rsquo;il y a Internet partout dans le monde ?";En théorie, oui, mais en pratique, c’est bien différent
"Quelles sont les règles d&rsquo;or quand on utilise Internet ?";Elles sont plutôt simples : ne pas aller sur les sites pour les adultes, ne pas utiliser les textes ou photos sans l’autorisation de leurs propriétaires, ne pas croire tout ce qu’on lit en gardant un..
"D&rsquo;où vient la lumière des lampes ?";La lumière arrive dans les maisons grâce à l’électricité qui vient par des fils, cachés à l’intérieur des murs
Que signifie le mot « origami » ?;L’origami, cet art délicat du pliage du papier, est un mot japonais qui signifie plier (« oru ») et papier (« kami »)
Que signifie le mot « manga » ?;Les mangas sont ces bandes dessinées qui nous viennent du Japon et qui remportent un succès fou dans le monde
Pourquoi y a-t-il des jardins sur les toits de Paris ?;Paris est hélas l’une des mégalopoles comptant le moins d’arbres par habitant
"Qui était Jeanne d&rsquo;Arc ?";Jeanne d’Arc était une jeune fille qui vivait au Moyen Âge
"Quel âge avait Jeanne d&rsquo;Arc quand elle libéra la ville d&rsquo;Orléans des Anglais ?";Jeanne d’Arc était une jeune paysanne française
Pourquoi y a-t-il 52 cartes dans un jeu de cartes ?;Les jeux de 52 cartes sont basés sur le calendrier grégorien
"Pourquoi les empereurs romains levaient-ils le pouce lors d&rsquo;un combat de gladiateurs ?";Les empereurs romains levaient ou baissaient le pouce lors des jeux, à la fin d’un combat de gladiateurs
Que représentent les 5 anneaux, symbole des Jeux olympiques ?;C’est Pierre de Coubertin, créateur des Jeux olympiques modernes, qui a eu l’idée en 1913 de symboliser les Jeux olympiques avec ces 5 anneaux entrelacés
Où avaient lieu les jeux olympiques ?;Ils se déroulaient à Olympie, en l’honneur de Zeus, le roi des dieux : le lieu où vivaient les dieux était le mont Olympe, à Olympie
Qui était Jules César ?;Jules César était un grand général de l’armée romaine, qui en réalité n’a jamais été empereur 
Comment Jules César est-il mort ?;Jules César, ce puissant empereur romain, a été assassiné
Jules César fut-il empereur romain ?;Eh non 
"L&rsquo;histoire romaine a-t-elle croisée l&rsquo;histoire d&rsquo;Égypte ?";Oui, entre autres lorsque Cléopâtre rencontra Jules César
Où grandit le bébé kangourou ?;Lorsque le bébé kangourou naît, il est minuscule, à peine plus grand que ton petit doigt
Comment la maman koala transporte-t-elle son bébé ?;La maman koala transporte son bébé sur son dos
Que mange la baleine ?;La baleine est le mammifère marin le plus grand au monde
"D&rsquo;où vient mon pull bleu ?";Il ne vient pas d’un mouton bleu 
Combien de litres de lait donne une vache par jour ?;Une vache est traite deux fois par jours, le matin et le soir, tous les jours de l’année
Pourquoi les femmes ont-elles des seins ?;Les femmes ont des seins pour nourrir leur bébé
Peut-on donner du lait aux chats ?;Quand ils sont petits, ils boivent le lait de leur maman, mais une fois grands, il vaut mieux leur donner de l’eau, car le lait de vache n’est pas très bon pour eux...
"D&rsquo;où vient la lumière des lampes ?";La lumière arrive dans les maisons grâce à l’électricité qui vient par des fils, cachés à l’intérieur des murs
Quelle est la partie de la bouche qui permet de donner le goût des aliments ?;C’est la langue 
Où vivaient les hommes préhistoriques ?;Les hommes préhistoriques vivaient dans des grottes, où ils se protégeaient du froid, de la pluie, et surtout dans lesquelles ils préservaient leur feu, garantie de leur survie
Les volcans crachent-ils tous de la lave ?;Eh non 
"C&rsquo;est quoi exactement un volcan ?";Un volcan c’est un trou dans la Terre
"Pourquoi le paresseux s&rsquo;appelle-t-il ainsi ?";Le paresseux est un animal bien particulier 
Quelle est la hauteur de la tour Eiffel ?;La tour Eiffel mesure très exactement 320 mètres de haut
Quel est le cimetière le plus visité à Paris ?;Il s’agit du cimetière du Père-Lachaise
Pourquoi le lion a-t-il une crinière ?;Le lion, roi de la savane africaine, a une grosse crinière autour de la tête, au niveau du cou
Pourquoi la maman lion lèche-t-elle ses petits ?;Le lion est un félin
Pourquoi les fauves obéissent-ils au dompteur, dans un cirque ?;Les fauves (lions, tigres…) obéissent parce que ce sont des animaux dressés
Comment fabrique-t-on du verre ?;Pour fabriquer du verre, il faut mélanger du sable avec deux produits chimiques : de la soude et de la chaux que l’on chauffe à 1 600 °C, ce qui est très chaud 
Quel a été le premier livre publié au monde ?;Il s’agit de la Bible, imprimée et publiée en 1455 par Gutenberg
Au Moyen Âge, est-ce que les livres existaient ?;Les livres étaient très rares et très précieux car, l’imprimerie n’existant pas encore, les livres étaient recopiés à la main par les moines
Pourquoi Louis XIV était-il surnommé le Roi-Soleil ?;Louis XIV, qui régna de 1643 à 1715, s’est choisi lui-même le Soleil comme symbole
Pourquoi le français est-il la langue officielle de la danse classique ?;Le français est la langue utilisée pour la danse classique parce que les premiers danseurs professionnels sont apparus en France, à l’époque de Louis XIV, le Roi Soleil
Quel était le surnom de Louis XIV ?;Louis XIV était aussi appelé le Roi-Soleil
Le château de Versailles fut-il la résidence de tous les rois de France ?;Le château de Versailles devint la résidence des rois en 1682, date à laquelle Louis XIV s’y installa
"D&rsquo;où vient la lumière des lampes ?";La lumière arrive dans les maisons grâce à l’électricité qui vient par des fils, cachés à l’intérieur des murs
"Pourquoi l&rsquo;eau des mers et des océans est-elle bleue ?";L’eau transparente des océans absorbe toutes les couleurs de l’arc-en-ciel sauf le bleu qu’elle rejette
"La pupille, le point noir au milieu de l&rsquo;œil, peut-elle changer de taille ?";Oui 
Pourquoi la Lune brille-t-elle ?;Parce que le Soleil l’éclaire
Qui était Neil Armstrong ?;Neil Armstrong était un astronaute américain
Le Soleil tourne-t-il ?;Eh oui 
"Qu&rsquo;y a-t-il sur la Lune ?";Sur la Lune, il n’y a que des pierres et de la poussière
Pourquoi la Lune brille-t-elle ?;Parce que le Soleil l’éclaire
"Pourquoi, quelquefois, la mer s&rsquo;en va ?";Cela s’appelle les marées
"Qu&rsquo;est-ce que le travail sur un chantier ?";  Le travail sur un chantier est assez difficile et dangereux
Pourquoi les véhicules sur les chantiers sont-ils souvent grands et gros ?;Sur les chantiers, on utilise des machines qui doivent creuser de gros trous, couler des grandes quantités de béton et porter de grosses pierres ou d’imposantes tiges de fer
Pourquoi brûlait-on les sorcières au Moyen Âge ?;À l’époque, les gens étaient très superstitieux
"Qu&rsquo;y a-t-il a l&rsquo;intérieur de la Terre ?";À l’intérieur de la Terre il y a un noyau et autour se trouvent des roches si brûlantes qu’elles en sont liquides
"C&rsquo;est quoi exactement un volcan ?";Un volcan c’est un trou dans la Terre
Avec quel matériau les Égyptiens construisaient-ils leurs maisons ?;Les Égyptiens construisaient leurs maisons avec des briques fabriquées à partir de boue séchée, issue du Nil
Existe-t-il des maisons en paille et en bois ?;Oui 
Les ponts de Paris ont-ils été habités ?;Oui 
"Sur un chantier, à quoi sert l&rsquo;architecte ?";D’abord, l’architecte dessine les plans de la maison ou de l’immeuble
"Qu&rsquo;est-ce qu&rsquo;un ornithorynque ?";L’ornithorynque est un mammifère amphibie (qui vit sur Terre et dans l’eau) au corps poilu, avec des pattes palmées munies de griffes, une queue de castor et un bec de canard 
Quel règne animal a suivi la disparition des dinosaures ?;Les dinosaures ont disparu, sans doute victime de la chute d’une météorite sur la Terre
Pourquoi les mammouths ont-ils disparu ?;Les mammouths se sont éteints car leur fourrure n’était plus adaptée au climat
Les mammouths ont-ils vécu à la même période que les dinosaures ?;Non, les mammouths n’ont pas vécu à la même période que les dinosaures
Que mangeaient les hommes préhistoriques ?;Les hommes préhistoriques n’ont pas commencé à se nourrir de la pêche ou de la cueillette de plantes
Quels sont les oiseaux qui ne peuvent pas voler ?;La quasi totalité des oiseaux volent, même un peu, comme les poules 
Que signifie le mot « manga » ?;Les mangas sont ces bandes dessinées qui nous viennent du Japon et qui remportent un succès fou dans le monde
Pourquoi ne mange-t-on pas avec les doigts ?;On ne mange pas avec les doigts dans certains pays, car cela est considéré comme étant malpoli
Pourquoi les filles se maquillent-elles ?;Déjà, toutes les filles ne se maquillent pas
Pourquoi les bébés ne marchent-ils pas ?;Le corps des bébés, lorsqu’ils naissent, doit encore se perfectionner 
Pourquoi met-on des fers sur les sabots des poneys et des chevaux ?;Les fers sont faits pour protéger les sabots des chevaux et des poneys
"Pourquoi, quelquefois, la mer s&rsquo;en va ?";Cela s’appelle les marées
Comment se dirige-t-on sur un voilier ?;Pour se diriger, on utilise une barre
"Y a-t-il eu de l&rsquo;eau sur Mars ?";Les scientifiques pensent que l’eau a coulé sur Mars, il y a très longtemps, à cause de la couleur de son sol : rouge-orangé
Pourquoi les pompiers portent parfois un masque ?;Lorsque les pompiers interviennent dans des immeubles ou des maisons en feu, ils doivent porter un masque qui leur donne de l’oxygène
Pourquoi le coq chante ?;Le coq est un animal orgueilleux et fier
"L&rsquo;or était-il le trésor le plus recherché des pirates ?";Non 
Pourquoi les cheveux deviennent-ils blancs ?;The white hair appears because the melanin which gives the color to the hair and the skin, Problème de pertedecheveux aussi un grand problème ces années
"C&rsquo;est quoi la ménagerie d&rsquo;un cirque ?";C’est l’endroit dans un cirque où les animaux sont gardés, lorsqu’ils ne sont pas sur la piste en train de faire leur numéro
"Quel animal donne une fessée à son petit lorsqu&rsquo;il n&rsquo;est pas sage ?";C’est la maman éléphant
Quelle est la plus mauvaise mère du règne animal ?;La femelle du coucou 
Quelle est la meilleure mère du règne animal ?;La maman gorille est l’une des mères les plus douces avec son petit
Pourquoi la mer est-elle salée ?;L’eau de mer a un goût salé car elle contient du sel
"Est-ce que les écailles des poissons grandissent&nbsp;?";Eh oui 
Le requin est-il un mammifère ou un poisson ?;Le requin est un poisson
"L&rsquo;hippocampe est-il un poisson ?";Eh oui 
Comment font les étoiles de mers pour manger ?;Les étoiles de mer raffolent des coquillages
"C&rsquo;est quoi une météorite ?";Une météorite est un énorme caillou qui traverse l’espace et tombe sur la Terre
Comment les dinosaures se sont-ils éteints ?;Les dinosaures se seraient éteints après la chute d’une énorme météorite sur la Terre
Les pets des vaches sont-ils polluants ?;Oui 
"Comment devient-on footballeur professionnel&nbsp;?";Devenir footballeur professionnel est un rêve pour beaucoup, mais attention : c’est un peu le parcours du combattant 
"C&rsquo;est quoi exactement une start-up ?";C’est une entreprise qui démarre (« to start » en anglais) et dont le secteur d’activités est lié aux nouvelles technologies : ordinateurs, téléphones, sites Web, recherches en biologie et plein..
Qui sont les pompiers ?;Pour certains, c’est leur métier d’être pompiers
Quelle est la différence entre un tramway et un métro ?;Dans les grandes villes, un métro est un moyen de transport souterrain qui permet de se déplacer rapidement d’un endroit à un autre
"Comment s&rsquo;appelaient les ouvertures étroites dans les murs des châteaux forts ?";Les ouvertures étroites et hautes façonnées dans les murailles des châteaux forts s’appelaient des meurtrières
